"","method","Output","nCell","Batch_ASW_batch.RNA","Batch_ASW_site.RNA","graph_connectivity_batch.RNA","graph_connectivity_label.RNA","graph_connectivity_label.l1.RNA","graph_connectivity_cluster.RNA","graph_iLISI.RNA","ARI.RNA","ARI.l1.RNA","AMI.RNA","AMI.l1.RNA","graph_cLISI.RNA","graph_cLISI.l1.RNA","isolated_labels_ASW.RNA","isolated_labels_ASW.l1.RNA","Batch_ASW_batch.ATAC","Batch_ASW_site.ATAC","graph_connectivity_batch.ATAC","graph_connectivity_label.ATAC","graph_connectivity_label.l1.ATAC","graph_connectivity_cluster.ATAC","graph_iLISI.ATAC","ARI.ATAC","ARI.l1.ATAC","AMI.ATAC","AMI.l1.ATAC","graph_cLISI.ATAC","graph_cLISI.l1.ATAC","isolated_labels_ASW.ATAC","isolated_labels_ASW.l1.ATAC","FOSCTTM","nearest_cell_barcode","nearest_cell_barcode.RNA","nearest_cell_barcode.ATAC","nearest_cell_celltype","nearest_cell_celltype.RNA","nearest_cell_celltype.ATAC","nearest_cell_celltype.l1","nearest_cell_celltype.l1.RNA","nearest_cell_celltype.l1.ATAC"
"21","SeuratV3","Embedding",6781,NA,NA,1,0.996211864861282,0.995888394272075,1,NA,0.647918952812397,0.565869711663839,0.831029982759037,0.777236894942149,0.994025302953643,0.99920332671118,0.594076860490578,0.602653087292434,NA,NA,1,0.911618466495287,0.937775216192594,1,NA,0.468111010898875,0.353888938162542,0.742343614966524,0.659725359913641,0.987828020037606,0.995871476465351,0.614581127631581,0.646831723249851,0.0479940274839518,0.00479280342132429,0.006193776729096,0.00339183011355257,0.770461583837192,0.74900457159711,0.791918596077275,0.863589441085386,0.853856363368235,0.873322518802537
"22","SIMBA","Embedding",6781,NA,NA,1,0.987637551411493,0.98889828115214,1,NA,0.654455760506799,0.52366419639362,0.833752726748242,0.746216875789805,0.99369856222426,0.998842452724614,0.588041481795481,0.587010658634421,NA,NA,1,0.959232051885133,0.967219503071122,1,NA,0.587571899410187,0.548436781482591,0.703452112459427,0.676494498100624,0.967184597765171,0.982585909825409,0.530469833481855,0.563211223972276,0.0925346354845545,0.00294941749004572,0.00324435923905029,0.00265447574104114,0.616575726294057,0.65226367792361,0.580887774664504,0.772526176080224,0.792655950449786,0.752396401710662
"23","unionCom","Embedding",6781,NA,NA,1,0.970723533254721,0.965538188725135,1,NA,0.609640991366916,0.446080613882436,0.805753279871435,0.704589476582368,0.996548010212948,0.999445482355515,0.698666092620899,0.705181077587244,NA,NA,1,0.535200076834593,0.7799358462982,1,NA,0.111142034616903,0.103327436595289,0.228099929004399,0.20970261895451,0.829405412996053,0.739913495849893,0.359523309118262,0.412639532845265,0.492383437061329,0.000147470874502286,0,0.000294941749004572,0.0729243474413803,0.115764636484294,0.0300840583984663,0.125276507889692,0.181979059135821,0.0685739566435629
"24","uniPort","Embedding",6781,NA,NA,1,0.915445679600815,0.961539997615288,1,NA,0.516276567737452,0.471356331851552,0.674828681913782,0.649270711224765,0.966533865205143,0.975250418915398,0.536466710225851,0.561058194144071,NA,NA,1,0.992430278826131,0.988098740593404,1,NA,0.663646291544102,0.524415220278951,0.835168987420108,0.743490990201783,0.993874533645126,0.999495808198384,0.606205631089512,0.590940742574161,0.0860778316957817,0.00508774517032886,0.00516148060758,0.00501400973307772,0.742884530305265,0.713611561716561,0.772157498893968,0.859607727473824,0.839109275918006,0.880106179029642
"25","bindSC","Embedding",6781,NA,NA,1,0.892924877796175,0.939917697730142,1,NA,0.408752770908302,0.440757505752999,0.65134004374083,0.649741243470379,0.958034510853125,0.96388979556717,0.518890423918801,0.590925529573001,NA,NA,1,0.864775698639937,0.905135188242278,1,NA,0.367188219226711,0.349271228568828,0.647174056759954,0.630432282887483,0.969242753557447,0.987765225167842,0.516073579548871,0.598437126686911,0.120366104003263,0.00272821117829229,0.003096888364548,0.00235953399203657,0.535761687066804,0.52514378410264,0.546379590030969,0.732119156466598,0.71744580445362,0.746792508479575
"26","scglue","Embedding",6781,NA,NA,1,0.992655475203041,0.99184588793782,1,NA,0.642706223608613,0.512310866823903,0.835879541329252,0.745136208972459,0.994735202890935,0.999647028031074,0.62773646186241,0.60158894173425,NA,NA,1,0.980712360073166,0.975722540538419,1,NA,0.671548802688506,0.544978672497609,0.807046153377172,0.728657261510637,0.98726280253437,0.997743152911514,0.604422312244771,0.595408596060392,0.0361306578464542,0.00929066509364401,0.00943813596814629,0.00914319421914172,0.825394484589294,0.829523669075358,0.82126530010323,0.896327975224893,0.90384898982451,0.888806960625277
"27","LIGER_INMF","Embedding",6781,NA,NA,1,0.984796681415595,0.985041437921212,1,NA,0.589011099045324,0.483912848532872,0.813419771353641,0.73710374146208,0.994548959184904,0.999614827038242,0.619509277290658,0.615111935368358,NA,NA,1,0.939342596298165,0.967262778775336,1,NA,0.61499845507284,0.675641247501387,0.690742314989385,0.70317716189732,0.956743467558361,0.967815141446477,0.511325220860223,0.570738554050836,0.249800840377382,0.000884825247013715,0.000884825247013715,0.000884825247013715,0.283660227105147,0.459666715823625,0.107653738386669,0.529641645774959,0.754018581330187,0.305264710219732
"28","LIGER_OINMF","Embedding",6781,NA,NA,1,0.961927151861344,0.984409315321157,1,NA,0.549270487192415,0.495326228189045,0.779538081675378,0.732993469101302,0.989459438602372,0.997694034367584,0.585728556129445,0.546823204526327,NA,NA,1,0.890188591772108,0.954822286922709,1,NA,0.423994100734904,0.474311145799719,0.618815367732302,0.63629190195104,0.946523041072986,0.937943156026156,0.500270153232911,0.542370244858185,0.256310066897756,0.000589883498009143,0.000589883498009143,0.000589883498009143,0.377820380474856,0.355257336676007,0.400383424273706,0.563928624096741,0.552868308509069,0.574988939684412
"29","LIGER_UINMF","Embedding",6781,NA,NA,1,0.983239470052776,0.983483732225726,1,NA,0.625882993276144,0.470297466148101,0.830997905480229,0.728486088885401,0.995177791836312,0.999544273057801,0.615670289987951,0.58340647756471,NA,NA,1,0.933202452168529,0.969117184589316,1,NA,0.417607447288665,0.489154880284805,0.659686321952795,0.682755125016898,0.954681517898887,0.97234420911263,0.509153164237554,0.577981550349073,0.435603105313408,0.000589883498009143,0.000737354372511429,0.000442412623506857,0.177554932900752,0.306591948090252,0.048517917711252,0.336528535614216,0.447574104114437,0.225482967113995
"30","MaxFuse","Embedding",6781,NA,NA,1,0.976127496440954,0.993140508286164,1,NA,0.640421239509581,0.537065758390748,0.816020535339138,0.743882769267211,0.987500306488003,0.99697330878832,0.553417973494659,0.532631705939869,NA,NA,1,0.984771469629787,0.978207773731886,1,NA,0.53720978939344,0.465867083648331,0.775887316880405,0.713025554741347,0.985149434463047,0.991371902592414,0.532581674003724,0.51038844560037,0.0989418002420558,0.00678366022710515,0.00825836897212801,0.00530895148208229,0.785356142161923,0.828933785577348,0.741778498746498,0.856289632797522,0.902669222828491,0.809910042766554
