,method,Batch_ASW_batch-RNA,graph_connectivity_batch-RNA,graph_connectivity_label-RNA,graph_connectivity_cluster-RNA,graph_iLISI-RNA,ARI-RNA,AMI-RNA,graph_cLISI-RNA,isolated_labels_ASW-RNA,Batch_ASW_batch-ATAC,graph_connectivity_batch-ATAC,graph_connectivity_label-ATAC,graph_connectivity_cluster-ATAC,graph_iLISI-ATAC,ARI-ATAC,AMI-ATAC,graph_cLISI-ATAC,isolated_labels_ASW-ATAC,FOSCTTM,nearest_cell_barcode,nearest_cell_barcode-RNA,nearest_cell_barcode-ATAC,nearest_cell_celltype,nearest_cell_celltype-RNA,nearest_cell_celltype-ATAC,Output,nCell
36,MaxFuse-louvain,,,,,,7.444438354221873e-05,-0.0002933764260694,0.4885097139060872,0.5104290701835568,,,,,,0.0001584752851197,-0.0002829198471599,0.4848125910344111,0.4920647950943225,0.3298092532255711,0.0012751487673561,0.0012279210352318,0.0013223764994804,0.2211674695381127,0.2178143005572872,0.2245206385189383,Embedding,10587.0
37,MaxFuse-louvain,,,,,,0.0002484633109117,-0.0001728306946983,0.4875084231186066,0.5089613699627593,,,,,,9.222228216605498e-05,-9.015294170063356e-05,0.4811103299578576,0.4884550352870235,0.335188981277164,0.0011806933031075,0.0014168319637291,0.000944554642486,0.2159724190044394,0.2219703409842259,0.2099744970246528,Embedding,10587.0
38,MaxFuse-louvain,,,,,,0.0004005828907399,-0.0001743594458111,0.4922037655776924,0.5088589558458931,,,,,,0.0004588366029633,0.0002824135063535,0.4759789392873426,0.4917256402493539,0.3447874256446487,0.0008500991782374,0.0005667327854916,0.0011334655709832,0.2130915273448569,0.2106356852743931,0.2155473694153206,Embedding,10587.0
39,LIGER_INMF,0.8933227441137583,0.9955342018773524,0.662906893284686,1.0,0.892559508266874,-0.0002622670291009,0.0006775115878424,0.5104599465229166,0.4793690956426927,0.9361732175086872,0.998789505298931,0.679376681711485,1.0,0.8891260764730127,-3.524502323935012e-05,0.000335926449312,0.5147844703869615,0.4483205234653704,0.4599036882441489,0.001079624938232,0.0011400087916389,0.0010192410848251,0.2264391584463626,0.2183756980544935,0.2345026188382317,Embedding,10587.0
40,LIGER_OINMF,0.9299255015857092,0.9969327677265932,0.6383787484456607,1.0,0.902437275200304,-0.0005356409692137,-9.764054582167416e-05,0.5072270342599742,0.4717828028040148,0.9489397863580146,0.9974259102686072,0.6771335656409507,1.0,0.8892035415462249,0.0002748749589827,9.256865159518826e-05,0.5117560342212364,0.4549637455438069,0.4775661801239189,0.0008516428199459,0.0005729460914189,0.0011303395484728,0.2230964952507845,0.2166474643674901,0.2295455261340789,Embedding,10587.0
41,LIGER_UINMF,0.8969713814087414,0.9980533998543316,0.6867620906943473,1.0,0.8965008803743045,-0.0005001714837621,0.0003300231303252,0.5095842254514825,0.4654292395181737,0.9149819924220396,0.9987717454256364,0.644796798459162,1.0,0.8931374394052987,-0.0003211653375652,-0.0010539150350375,0.5075162613899541,0.4597725486767081,0.4681858982448678,0.0006558460114042,0.0006653534174031,0.0006463386054052,0.228585280405547,0.2351470129352086,0.2220235478758854,Embedding,10587.0
42,LIGER_INMF,0.8933227441137583,0.9955342018773524,0.662906893284686,1.0,0.892559508266874,-0.0002622670291009,0.0006775115878424,0.5104599465229166,0.4793690956426927,0.9361732175086872,0.998789505298931,0.679376681711485,1.0,0.8891260764730127,-3.524502323935012e-05,0.000335926449312,0.5147844703869615,0.4483205234653704,0.4599036882441489,0.001079624938232,0.0011400087916389,0.0010192410848251,0.2264391584463626,0.2183756980544935,0.2345026188382317,Embedding,10587.0
43,LIGER_OINMF,0.9299255015857092,0.9969327677265932,0.6383787484456607,1.0,0.902437275200304,-0.0005356409692137,-9.764054582167416e-05,0.5072270342599742,0.4717828028040148,0.9489397863580146,0.9974259102686072,0.6771335656409507,1.0,0.8892035415462249,0.0002748749589827,9.256865159518826e-05,0.5117560342212364,0.4549637455438069,0.4775661801239189,0.0008516428199459,0.0005729460914189,0.0011303395484728,0.2230964952507845,0.2166474643674901,0.2295455261340789,Embedding,10587.0
44,LIGER_UINMF,0.8969713814087414,0.9980533998543316,0.6867620906943473,1.0,0.8965008803743045,-0.0005001714837621,0.0003300231303252,0.5095842254514825,0.4654292395181737,0.9149819924220396,0.9987717454256364,0.644796798459162,1.0,0.8931374394052987,-0.0003211653375652,-0.0010539150350375,0.5075162613899541,0.4597725486767081,0.4681858982448678,0.0006558460114042,0.0006653534174031,0.0006463386054052,0.228585280405547,0.2351470129352086,0.2220235478758854,Embedding,10587.0
45,LIGER_INMF,0.8933227441137583,0.9955342018773524,0.662906893284686,1.0,0.892559508266874,-0.0002622670291009,0.0006775115878424,0.5104599465229166,0.4793690956426927,0.9361732175086872,0.998789505298931,0.679376681711485,1.0,0.8891260764730127,-3.524502323935012e-05,0.000335926449312,0.5147844703869615,0.4483205234653704,0.4599036882441489,0.001079624938232,0.0011400087916389,0.0010192410848251,0.2264391584463626,0.2183756980544935,0.2345026188382317,Embedding,10587.0
