,method,Output,nCell,Batch_ASW_batch,Batch_ASW_site,graph_connectivity,graph_connectivity.l1,graph_iLISI,ARI,ARI.l1,AMI,AMI.l1,graph_cLISI,graph_cLISI.l1,isolated_labels_ASW,isolated_labels_ASW.l1
23,totalVI_batch-louvain,Embedding,9026.0,0.8883091581997007,0.9245658140715234,0.9018515323389664,0.9417745394335568,0.3947826372856104,0.6200268506325444,0.5757169649531712,0.7797350316395525,0.7451550697837135,0.9907705949359566,0.9961510598614932,0.5229233590265115,0.5489779605064541
24,totalVI-louvain,Embedding,9026.0,0.8598991497893851,0.82958369686904,0.8995028108199231,0.9317173181870548,0.1033191717145016,0.2981706499348964,0.2794499586755894,0.6329345178112894,0.6120087781641037,0.9886242288652274,0.9951097857744612,0.6006550565361977,0.5435006871819497
25,bindSC-louvain,Embedding,9026.0,0.904890421759122,0.8681516998284063,0.91179588613454,0.9535919502759412,0.1895885304943763,0.5579228725201157,0.5030685353734485,0.7420671599894423,0.7136028809273491,0.9884747820252624,0.9967870407742244,0.585312028725942,0.5761032927781343
26,CiteFuse,Graph,9026.0,,,1.0,1.0,0.1151843738661829,0.0,0.0,-1.616198915343812e-15,-2.287717763707675e-12,0.9468979065491638,0.776944466694517,,
27,MaxFuse-louvain,Embedding,9026.0,0.8982852479780497,0.8880864139212232,0.9301086795993184,0.9257886291466396,0.2604908021295516,0.4595635729323838,0.5216062087047193,0.732777333537357,0.7323797139876083,0.9867976078790128,0.9933294751524304,0.5719027171532313,0.548139631934464
28,MOFA2-louvain,Embedding,9026.0,0.8439244694525199,0.8395773321520797,0.814652491577573,0.8865901823968827,0.1774295396036516,0.3597786394926099,0.3312923277501067,0.6647742588003892,0.6357901393122998,0.9856445682276072,0.996131982334851,0.6084775726000468,0.5477508861571551
29,multigrate_batch-louvain,Embedding,9026.0,0.8293475123518206,0.9077418883624911,0.854519560720303,0.8954617234103525,0.430067789523871,0.4951119343526531,0.4684574157570371,0.7447198163352268,0.696976269187548,0.9893439601662244,0.9962710064442184,0.6205383688211441,0.5991512261331081
30,multigrate-louvain,Embedding,9026.0,0.8465469314332015,0.8654011538095111,0.7545501734680463,0.8811620732151336,0.2241968103441277,0.3213863608255105,0.2967635745947414,0.6560544717813995,0.6230557178313483,0.9858744844274392,0.994862187196456,0.6173520758748055,0.5939002587459982
31,SCALEX-louvain,Embedding,9026.0,0.872642774513055,0.8820990099829309,0.8769994651436049,0.9213132437256232,0.3010627378141999,0.4361857533592316,0.4677227475451552,0.7092579832564003,0.6972209045816784,0.9859104043447277,0.9935786740629804,0.5939684137701988,0.5793966454453766
32,sciPENN_batch,Embedding,9026.0,0.9181977221211364,0.9461352922243376,0.4609301935825042,0.698004254322939,0.4219126773025857,0.1823138071566967,0.2627570769885152,0.338278692163877,0.354032760985378,0.9698001119810956,0.8916960880363983,0.4562724431355794,0.4554131347686052
33,sciPENN-louvain,Embedding,9026.0,0.9442760993618152,0.9586825610856832,0.7232097835564801,0.8734997859221398,0.4926723470672678,0.5809823643325194,0.6441432767382306,0.6713635706115221,0.7052357515900269,0.9572514389122122,0.9322336197521348,0.4949707700870931,0.4987645894987508
