,method,Output,nCell,Batch_ASW_batch,Batch_ASW_site,graph_connectivity,graph_connectivity.l1,graph_iLISI,ARI,ARI.l1,AMI,AMI.l1,graph_cLISI,graph_cLISI.l1,isolated_labels_ASW,isolated_labels_ASW.l1,RNA,ATAC
68,SeuratV4,Graph,6924.0,,,0.9751401017759456,0.9723810453334883,0.3268244703172414,0.5907355907477859,0.529679896420331,0.7329313379765564,0.6980890835000033,0.9824659007325288,0.9853687365676655,,,R10,A100
69,uniPort-louvain,Embedding,6924.0,0.872653927519074,0.9423358731147038,0.2560295646091033,0.6882001674216899,0.5458818328944823,0.0005381718393061,0.0004339610436603,0.0021328008493349,0.0007225355422532,0.6827623367022619,0.4389796135768824,0.4008062109351158,0.4393773451447487,R10,A100
70,cobolt-louvain,Embedding,6924.0,0.7903814937059566,0.8803533446124285,0.7254230525527786,0.8295697058587445,0.4103744544237209,0.2375658831520526,0.2654963049308028,0.4753864695466503,0.4995213827561242,0.9171097120529312,0.9052085605597476,0.2926921546459198,0.4954442791640758,R10,A10
71,DCCA-louvain,Embedding,6924.0,0.8690206954635022,0.8844788995871535,0.8894076064772918,0.9065702139074916,0.3275546616889299,0.455094399641584,0.4924501337829929,0.6027255023877278,0.6060803230949541,0.9475126413672388,0.932536063789092,0.5794193595647812,0.5280076861381531,R10,A10
72,MOFA2-louvain,Embedding,6924.0,0.8120229400507667,0.8641906004868609,0.7970351429338014,0.888380515349218,0.3244551502136854,0.2599899912765593,0.2997635240728104,0.4791693101710312,0.5024857250375387,0.9167273553740262,0.8874267521037389,0.5224355217069387,0.6250857561826706,R10,A10
73,multigrate_batch-louvain,Embedding,6924.0,0.9075236630405208,0.956902542780059,0.7922793429928447,0.8691561125161186,0.4670613982765741,0.3388745322458491,0.4119825871264037,0.5171926347575054,0.5578333977533341,0.9236496387988716,0.8922566943183904,0.4958079061470926,0.4654465802013874,R10,A10
74,multigrate-louvain,Embedding,6924.0,0.8999765920251047,0.9434775752932666,0.7744542166973393,0.8629579347933944,0.4344435679480969,0.4004012323737613,0.4906466158386044,0.5278109317943732,0.5674828548243307,0.9127204378214824,0.8717213299044724,0.4103949815034866,0.4773196130990982,R10,A10
75,multivi_batch-louvain,Embedding,6924.0,0.7828046262013548,0.8777275584083889,0.4311085234302658,0.6742156613606247,0.378982849253972,0.1540827671404339,0.1651841778581598,0.3452211231886636,0.3572190676936562,0.8694346287950416,0.8025165131607501,0.4082988053560257,0.5259362794458866,R10,A10
76,multivi-louvain,Embedding,6924.0,0.7522946894356726,0.8745025238304512,0.4287806332483948,0.6539680829657476,0.3637184462482925,0.1767305157154777,0.1824969101905914,0.3413558885131685,0.3548713102571944,0.8625317760624682,0.7837066647707785,0.3551607131958008,0.4830506052821874,R10,A10
77,scAI-louvain,Embedding,6924.0,0.8955357767279502,0.9072678571703362,0.76382885911211,0.8588476935755477,0.3419894176818142,0.1067414582256124,0.1321736533754119,0.2794544910159575,0.2815469089659201,0.879221702345052,0.8098953820159432,0.5932134613394737,0.5336606428027153,R10,A10
78,scDEC-louvain,Embedding,6924.0,0.8501514606906745,0.909310858046565,0.7621169652105966,0.8783376603615499,0.3344639530123383,0.2518947286472158,0.3074530639396755,0.4119423094921998,0.4363862945215794,0.8964781633665171,0.8426051095907631,0.4482498988509178,0.4901976026594639,R10,A10
79,scMDC-louvain,Embedding,6924.0,0.8394739718657707,0.926804986996602,0.9265254831389528,0.962881129194074,0.3748201122999695,0.4256869085849279,0.5182088514995166,0.5834251983599207,0.6186115060911104,0.9347265073021376,0.8979469032629859,0.4891588371247053,0.6273233443498611,R10,A10
