,method,Output,nCell,Batch_ASW_batch,Batch_ASW_site,graph_connectivity,graph_connectivity.l1,graph_iLISI,ARI,ARI.l1,AMI,AMI.l1,graph_cLISI,graph_cLISI.l1,isolated_labels_ASW,isolated_labels_ASW.l1,RNA,ADT
73,sciPENN-louvain,Embedding,9026.0,0.932656254050474,0.962449205596247,0.3785136384175749,0.72962588173896,0.500662579372401,0.17877757834658,0.2200139184027473,0.1786575238094913,0.2076172625334587,0.8896720560788737,0.6654945562598502,0.4402963444590568,0.4662848363630473,R10,A100
74,scMDC-louvain,Embedding,9026.0,0.8619797287757555,0.8625409789887315,0.8666362798513759,0.7395729719432416,0.2280241087738726,0.4025054600265902,0.4522226748028701,0.6972575178692895,0.6984129976747323,0.9884191107773564,0.998664470033784,0.5713870575030645,0.6226411469280719,R10,A100
75,SeuratV4,Graph,9026.0,,,0.8795886202945344,0.9352762952122609,0.1242409638798158,0.3887537782862585,0.3518436437226056,0.6567931226897746,0.6395796897326289,0.9823638840655592,0.9912343406595852,,,R10,A100
76,totalVI_batch-louvain,Embedding,9026.0,0.8830645471269893,0.9160578068519716,0.8919145492862189,0.9256571980102932,0.4041891155901518,0.7581595701846496,0.6837990865647239,0.7716361055919296,0.7441956661169831,0.9853715866610988,0.991709152712722,0.5138420810302099,0.5431407075375319,R10,A100
77,totalVI-louvain,Embedding,9026.0,0.8696631649742859,0.8316555747308351,0.8908189420625304,0.9300843731256248,0.129607673424684,0.3770108029213662,0.3460729294454545,0.6334323122800605,0.6195134656362591,0.983413536014348,0.9909477920286368,0.5468673805395762,0.5314603576203808,R10,A100
78,bindSC-louvain,Embedding,9026.0,0.9262984891999622,0.9258844188781676,0.8443021743025183,0.93342768949613,0.3355565035962631,0.6559781907140959,0.7438043920402037,0.684727808884048,0.7343679563052589,0.9780022725565534,0.9831469752239774,0.5349540101985136,0.5452576011593919,R10,A10
79,CiteFuse,Graph,9026.0,,,1.0,1.0,0.1117208747033244,0.0,0.0,-1.616198915343812e-15,-2.287717763707675e-12,0.9626317754016988,0.8557259364937428,,,R10,A10
80,MaxFuse-louvain,Embedding,9026.0,0.8917405467022205,0.8989595097791242,0.8537989125002691,0.9254070345314084,0.3990581750043823,0.6875580575972537,0.6912114404337794,0.6970464599759735,0.7047619438909776,0.9735744028301508,0.9724629322521272,0.5195739778379599,0.5216138932388276,R10,A10
81,MOFA2-louvain,Embedding,9026.0,0.8526626847077096,0.8393753420009116,0.7412379895427541,0.8847156676920088,0.1728726501527732,0.3672113208794586,0.3581449792581958,0.6189532921124336,0.626365684316421,0.98021679768593,0.9920709022365348,0.5861032456159592,0.5376138474792242,R10,A10
82,multigrate_batch-louvain,Embedding,9026.0,0.8295318432770425,0.8982787779565022,0.841502673287749,0.91978500352747,0.4320148944334505,0.3991883482182081,0.414074566024023,0.7046227759974352,0.6824048836803962,0.9860913436085622,0.9963595535749612,0.6851636071999868,0.6010522852651775,R10,A10
