,method,Output,nCell,FOSCTTM,nearest_cell_barcode,nearest_cell_barcode-RNA,nearest_cell_barcode-ADT,nearest_cell_celltype,nearest_cell_celltype-RNA,nearest_cell_celltype-ADT,nearest_cell_celltype.l1,nearest_cell_celltype.l1-RNA,nearest_cell_celltype.l1-ADT,s2d1,s3d6
28,multigrate-louvain,Embedding,10465.0,0.1974187705976899,0.0006211180124223,0.0006688963210702,0.0005733397037744,0.2917343526039178,0.2332537028189202,0.3502150023889154,0.5176779741997133,0.5123745819397993,0.5229813664596273,R100_A100,R25_A25
29,scmomat-louvain,Embedding,10465.0,0.3998804697660095,0.0002388915432393,9.555661729574773e-05,0.0003822264691829,0.2809364548494983,0.1935021500238891,0.3683707596751075,0.3447682752030578,0.2544672718585762,0.4350692785475394,R100_A100,R25_A25
30,scVAEIT-louvain,Embedding,10465.0,0.2161958056899788,0.0004777830864787,0.0002866698518872,0.0006688963210702,0.3534639273769708,0.3557572861920688,0.3511705685618729,0.6273291925465838,0.6312470138557095,0.6234113712374582,R100_A100,R25_A25
31,StabMap-louvain,Embedding,10465.0,0.0905713514139115,0.0036789297658862,0.0039178213091256,0.0034400382226469,0.6430004777830864,0.629144768275203,0.65685618729097,0.8971810797897755,0.8983277591973244,0.8960344003822265,R100_A100,R25_A25
32,MIDAS-louvain,Embedding,10465.0,0.0576844252986258,0.0072623029144768,0.0081223124701385,0.006402293358815,0.73258480649785,0.7286192068800764,0.7365504061156235,0.916292403248925,0.9118012422360248,0.9207835642618252,R100_A100,R50_A50
33,multigrate-louvain,Embedding,10465.0,0.2122647991199477,0.0009077878643096,0.0009555661729574,0.0008600095556617,0.315527950310559,0.399617773530817,0.231438127090301,0.5539417104634496,0.7098901098901099,0.3979933110367893,R100_A100,R50_A50
34,scmomat-louvain,Embedding,10465.0,0.2911098560966652,0.0006688963210702,0.0004777830864787,0.0008600095556617,0.4482083134257048,0.4341137123745819,0.4623029144768275,0.6196368848542761,0.6124223602484472,0.6268514094601051,R100_A100,R50_A50
35,scVAEIT-louvain,Embedding,10465.0,0.1835250804161666,0.0005733397037744,0.0007644529383659,0.0003822264691829,0.306832298136646,0.2338270425226947,0.3798375537505972,0.5038222646918299,0.4921165790731008,0.515527950310559,R100_A100,R50_A50
36,StabMap-louvain,Embedding,10465.0,0.0741558659458906,0.0049689440993788,0.0063067367415193,0.0036311514572384,0.6815097945532729,0.6678451982799809,0.6951743908265647,0.92427138079312,0.9222169135212612,0.9263258480649784,R100_A100,R50_A50
37,MIDAS-louvain,Embedding,10465.0,0.0510383826688693,0.0085523172479694,0.0087912087912087,0.00831342570473,0.7285236502627808,0.727281414237936,0.7297658862876254,0.9200191113234591,0.9180124223602484,0.9220258002866698,R100_A100,R75_A75
38,multigrate-louvain,Embedding,10465.0,0.2493086526676755,0.0007644529383659,0.0005733397037744,0.0009555661729574,0.4358337314859054,0.4712852365026278,0.400382226469183,0.6330625895843287,0.6867654085045389,0.5793597706641185,R100_A100,R75_A75
39,scmomat-louvain,Embedding,10465.0,0.2869991912157308,0.0007166746297181,0.0002866698518872,0.0011466794075489,0.4274725274725275,0.358337314859054,0.4966077400860009,0.637888198757764,0.5216435738174868,0.7541328236980411,R100_A100,R75_A75
40,scVAEIT-louvain,Embedding,10465.0,0.1559643285732319,0.0007166746297181,0.0009555661729574,0.0004777830864787,0.4039178213091257,0.570090778786431,0.2377448638318203,0.806832298136646,0.8377448638318203,0.7759197324414716,R100_A100,R75_A75
41,StabMap-louvain,Embedding,10465.0,0.0673169432200571,0.004538939321548,0.0043956043956043,0.0046822742474916,0.6963688485427616,0.6936454849498328,0.6990922121356904,0.921261347348304,0.9217391304347826,0.9207835642618252,R100_A100,R75_A75
42,scmomat-louvain,Embedding,10465.0,0.2408419848291885,0.0017677974199713,0.0010511227902532,0.0024844720496894,0.4269469660774009,0.3240324892498805,0.5298614429049212,0.6144768275203057,0.4710941232680363,0.7578595317725753,R100_A100,R100_A100
43,scVAEIT-louvain,Embedding,10465.0,0.1469110809836624,0.0008122312470138,0.0010511227902532,0.0005733397037744,0.4769230769230769,0.4972766364070712,0.4565695174390826,0.7330148112756809,0.8243669374104157,0.641662685140946,R100_A100,R100_A100
44,StabMap-louvain,Embedding,10465.0,0.0622632765145073,0.0055900621118012,0.0061156235069278,0.0050645007166746,0.7178690874343048,0.724223602484472,0.7115145723841376,0.9321548017200192,0.9334925943621596,0.9308170090778788,R100_A100,R100_A100
45,SeuratV5,Embedding,20930.0,0.1307288212317398,0.0016244624940277,0.0017200191113234,0.0015289058767319,0.5603917821309126,0.5715241280458672,0.549259436215958,0.8013377926421406,0.8178690874343049,0.7848064978499761,R10_A10,R100_A100
46,SeuratV5,Embedding,20930.0,0.0845541425482845,0.0030578117534639,0.0034400382226469,0.0026755852842809,0.6124223602484472,0.5745819397993311,0.6502627806975633,0.8713330148112757,0.8551361681796464,0.8875298614429049,R25_A25,R100_A100
47,SeuratV5,Embedding,20930.0,0.065362287642767,0.0036311514572384,0.0043956043956043,0.0028666985188724,0.6743430482560917,0.6697563306258958,0.6789297658862876,0.8947921643573817,0.8735785953177257,0.9160057333970376,R50_A50,R100_A100
48,SeuratV5,Embedding,20930.0,0.0591129670512291,0.0039178213091256,0.0037267080745341,0.0041089345437171,0.6915910176779743,0.6712852365026278,0.7118967988533206,0.9075011944577162,0.8812231247013855,0.9337792642140468,R75_A75,R100_A100
49,SeuratV5,Embedding,20930.0,0.0539774403290471,0.0050167224080267,0.0061156235069278,0.0039178213091256,0.7281414237935977,0.7118012422360248,0.7444816053511706,0.9270425226946966,0.915910176779742,0.9381748686096512,R100_A100,R100_A100
50,SeuratV5,Embedding,20930.0,0.07990731510331,0.0021978021978021,0.0026755852842809,0.0017200191113234,0.6527950310559006,0.6300047778308648,0.6755852842809364,0.8723841376015289,0.843956043956044,0.9008122312470138,R100_A100,R10_A10
51,SeuratV5,Embedding,20930.0,0.0608017990028418,0.0035833731485905,0.0041089345437171,0.0030578117534639,0.6700430004777831,0.6312470138557095,0.7088389870998567,0.8987577639751553,0.8712852365026278,0.9262302914476828,R100_A100,R25_A25
52,SeuratV5,Embedding,20930.0,0.0560222925872399,0.0034878165312947,0.0039178213091256,0.0030578117534639,0.6985666507405638,0.6709030100334448,0.7262302914476828,0.9035355948399426,0.8904921165790731,0.9165790731008122,R100_A100,R50_A50
53,SeuratV5,Embedding,20930.0,0.0536426999743645,0.0041089345437171,0.0047778308647873,0.0034400382226469,0.7240324892498806,0.7019589106545628,0.7461060678451983,0.9185379837553752,0.8970855231724797,0.9399904443382704,R100_A100,R75_A75
