,method,Output,nCell,Batch_ASW_batch,Batch_ASW_site,graph_connectivity,graph_connectivity.l1,graph_iLISI,ARI,ARI.l1,AMI,AMI.l1,graph_cLISI,graph_cLISI.l1,isolated_labels_ASW,isolated_labels_ASW.l1
24,scMVAE-louvain,Embedding,6924.0,0.8795976204941917,0.8847896059791253,0.9826210527935838,0.9852570242803504,0.223075607816918,0.4030775661511073,0.4488581181098721,0.6152185871224386,0.6198874228593021,0.9559479430063472,0.9506580518581984,0.6922166794538498,0.6184203997254372
25,scMVP-louvain,Embedding,6924.0,0.8818264475621888,0.8830143896062566,0.960613499228618,0.9675340049697432,0.20256858314707,0.5201709967390261,0.4864200045832024,0.727383878124064,0.6788103570736945,0.9805292308732204,0.9854273158342076,0.6168872341513634,0.5122607871890068
26,SeuratV4,Graph,6924.0,,,0.9827210433794308,0.9795136568566748,0.2582685055266187,0.5895644737476199,0.4847127748610804,0.7409670636334951,0.6775457400656647,0.9865799909322638,0.988653661733352,,
27,uniPort-louvain,Embedding,6924.0,0.8607641261442157,0.8988020772899828,0.8838699258892707,0.8784367387254485,0.3806725969531375,0.4656505760890705,0.5243895435637883,0.6539646684063116,0.6640474262058711,0.9594828768824496,0.9584527173926356,0.5307407155632973,0.4537478424608707
28,cobolt-louvain,Embedding,6924.0,0.8205146246394248,0.8524696626881085,0.8819859681468896,0.9058825741941792,0.2864022498243956,0.3505925345418874,0.3755600727076901,0.5679098080119921,0.5720548744903395,0.952707570054212,0.9464613532765253,0.4567357338964939,0.5933325588703156
29,DCCA-louvain,Embedding,6924.0,0.829815388444282,0.8464490636114999,0.940674246805708,0.967822952297673,0.2511747559775107,0.4623854521192236,0.4602244635424122,0.6522237377492525,0.6302043876515074,0.9711461498997944,0.9770192484398604,0.6237093657255173,0.6231223791837692
30,MOFA2-louvain,Embedding,6924.0,0.8401746180196238,0.840249452407896,0.9038380084117472,0.9412583029865816,0.2588556325787103,0.3237679907368578,0.3863754050579429,0.5762218370563142,0.5936791138838992,0.9555238336430346,0.967902051005734,0.7130801230669022,0.5376284122467041
31,multigrate_batch-louvain,Embedding,6924.0,0.8387872990538713,0.9306779241363758,0.9210250570258524,0.9348027158131924,0.4443029298306327,0.5063265836542986,0.4541368259236495,0.6991753931447363,0.6673001659763556,0.9815211597994298,0.9841322434311044,0.4110868126153946,0.4446485601365566
32,multigrate-louvain,Embedding,6924.0,0.8242098282502668,0.9275149773287866,0.9239642083671592,0.9612144685599135,0.4402178897551616,0.4346066471156207,0.4274921493039039,0.663291877893211,0.6453625320242334,0.976337214408153,0.9808919509849924,0.3998587727546692,0.4577630050480366
33,multivi_batch-louvain,Embedding,6924.0,0.8207438147102883,0.8758112992059689,0.9298439456925388,0.9405145607043544,0.3090858299878643,0.3558108992089849,0.3744459538603342,0.6121454550759604,0.6052759837067502,0.9593400398392056,0.955579521531711,0.5274028219282627,0.600578673183918
