,method,Output,nCell,Batch_ASW_batch,Batch_ASW_site,graph_connectivity,graph_connectivity.l1,graph_iLISI,ARI,ARI.l1,AMI,AMI.l1,graph_cLISI,graph_cLISI.l1,isolated_labels_ASW,isolated_labels_ASW.l1,s1d1,s3d10
24,cobolt-louvain,Embedding,19786.0,0.8308579786523558,0.7205671849496567,0.947296793391621,0.9646381268871032,0.1815988882960046,0.4385642067820711,0.4644266084935797,0.6447915466459054,0.6472669339364177,0.9733526119033014,0.9878112646800664,0.5926689207553864,0.5889892631417347,R100_A100,R10_A10
25,MIDAS-louvain,Embedding,19786.0,0.9237935387478808,0.8797679988794049,0.960317893026658,0.975337795018301,0.5970636834754324,0.4916095788855657,0.4667708289555979,0.6355033109766435,0.6162484856683622,0.967714278877524,0.968214074986314,0.6525454968214035,0.5423816980328411,R100_A100,R10_A10
26,multigrate-louvain,Embedding,19786.0,0.7204056429763154,0.7243964958343805,0.6624479146142396,0.8389990248295714,1.1102230246251563e-16,0.2933607801669337,0.2939535293563793,0.5505608197844668,0.5505535813749904,0.973010718670256,0.987010926982582,0.7495382726192474,0.5655274424288008,R100_A100,R10_A10
27,multivi-louvain,Embedding,19786.0,0.8982452448783511,0.8704123705107404,0.9578215640349916,0.9704988982295576,0.5321437410813274,0.4914535839071774,0.4931049873150983,0.6858405751497261,0.6641399478109328,0.9757505962080388,0.9842906337944296,0.738429382443428,0.5705405997319354,R100_A100,R10_A10
28,scmomat-louvain,Embedding,19786.0,0.8691677423488773,0.8724738658253974,0.9126178870124222,0.9583501225272232,0.4302425525251245,0.4483123307493212,0.4670533448683592,0.5917298510330466,0.5908578545372896,0.9613880124691416,0.9735132662663436,0.5496284812688828,0.5474964942162236,R100_A100,R10_A10
29,cobolt-louvain,Embedding,19786.0,0.7978176066323254,0.7527808792193289,0.968246315535686,0.9730922138482212,0.241630660797683,0.4570185680317912,0.4510294063139927,0.6880712331145724,0.6788835642855596,0.981587760997065,0.9912900129753152,0.6005821824073792,0.5979684294304914,R100_A100,R25_A25
30,MIDAS-louvain,Embedding,19786.0,0.9329189725670168,0.9142294337833148,0.9801192036223136,0.979971798137217,0.6497132528160754,0.564805336189206,0.5304920879601359,0.7069909253982698,0.6860618435245929,0.9778527551820588,0.9864961810197956,0.6596570611000061,0.5518468304588977,R100_A100,R25_A25
31,multigrate-louvain,Embedding,19786.0,0.631315132674441,0.631315132674441,0.588446053591747,0.7308141034345143,1.1102230246251563e-16,0.3542910029301135,0.2976156868149364,0.6161403104014872,0.5795246090302243,0.9845896974036096,0.9942308443023062,0.6785309016704559,0.5758012448334031,R100_A100,R25_A25
32,multivi-louvain,Embedding,19786.0,0.9034853816979348,0.8930248940200163,0.9709811831978424,0.9747068150302014,0.5957157808051803,0.5171035464012191,0.4856856801228588,0.7402501171964254,0.7018933076730585,0.9843368743166506,0.9916415697685244,0.7516561448574066,0.5938289442306591,R100_A100,R25_A25
33,scmomat-louvain,Embedding,19786.0,0.8527385248949586,0.8612799514424713,0.9319955460203878,0.9693790970604536,0.3204183131292055,0.3977593360489646,0.4209767705917505,0.5825111779586363,0.592529619819773,0.9652101013044608,0.9765635915234308,0.5362606272101402,0.5467400512554579,R100_A100,R25_A25
