,method,Output,nCell,Batch_ASW_batch-RNA,Batch_ASW_site-RNA,graph_connectivity_label-RNA,graph_connectivity_label.l1-RNA,graph_connectivity_cluster-RNA,graph_iLISI-RNA,ARI-RNA,ARI.l1-RNA,AMI-RNA,AMI.l1-RNA,graph_cLISI-RNA,graph_cLISI.l1-RNA,isolated_labels_ASW-RNA,isolated_labels_ASW.l1-RNA,Batch_ASW_batch-ATAC,Batch_ASW_site-ATAC,graph_connectivity_label-ATAC,graph_connectivity_label.l1-ATAC,graph_connectivity_cluster-ATAC,graph_iLISI-ATAC,ARI-ATAC,ARI.l1-ATAC,AMI-ATAC,AMI.l1-ATAC,graph_cLISI-ATAC,graph_cLISI.l1-ATAC,isolated_labels_ASW-ATAC,isolated_labels_ASW.l1-ATAC,FOSCTTM,nearest_cell_barcode,nearest_cell_barcode-RNA,nearest_cell_barcode-ATAC,nearest_cell_celltype,nearest_cell_celltype-RNA,nearest_cell_celltype-ATAC,nearest_cell_celltype.l1,nearest_cell_celltype.l1-RNA,nearest_cell_celltype.l1-ATAC,s1d1,s3d10
20,cobolt-louvain,Embedding,6781.0,,,0.9845306993045608,0.9881696665998664,1.0,,0.6467053824428427,0.5237206460065764,0.819606056778485,0.7439164868073018,0.9918208171304066,0.9986494075247112,0.6131159020076032,0.6321085049039201,,,0.9732888152249104,0.9816167091724886,1.0,,0.576792556648147,0.5195671426138383,0.74710197860408,0.7058098397222741,0.9776751513526758,0.9889610935154948,0.5725184202921647,0.6037232862089107,0.0504603533546557,0.0071523374133608,0.0067836602271051,0.0075210145996165,0.7350685739566436,0.7678808435334021,0.702256304379885,0.8481787346998968,0.8753871110455685,0.820970358354225,R100_A100,R100_A100
21,MIDAS-louvain,Embedding,6781.0,,,0.9923701731428342,0.9937417951981692,1.0,,0.6217936830820894,0.5269490565970073,0.7995314361300915,0.7426955921990022,0.9886555973240544,0.9961808467434832,0.5749833765172431,0.5710266423684781,,,0.9508916815423611,0.9673686872563756,1.0,,0.4417528444458647,0.3803043898252908,0.6855297715734916,0.6449722539848503,0.975904907054516,0.984572390949218,0.5465966426225973,0.5480317592118592,0.094937349453191,0.013419849579708,0.0147470874502285,0.0120926117091874,0.7976699601828638,0.8169886447426633,0.7783512756230645,0.8750184338593128,0.8858575431352308,0.8641793245833947,R100_A100,R100_A100
22,multigrate-louvain,Embedding,6781.0,,,0.971354148822956,0.9761172325234504,1.0,,0.5753384153707837,0.4433735323189186,0.8079105494064881,0.7202455378272057,0.9957281285026096,0.9998506574404066,0.6533745437912009,0.6439472362313015,,,0.9100366555107504,0.9337264693397306,1.0,,0.4289988549493397,0.3671821364806122,0.6428493061732689,0.6068387732948738,0.9681212411223395,0.9775165905484332,0.5277698983079275,0.5879723304243459,0.1403711664232849,0.0017696504940274,0.002064592243032,0.0014747087450228,0.4624686624391683,0.4373986137737797,0.4875387111045569,0.6355257336676007,0.6136263088040113,0.6574251585311901,R100_A100,R100_A100
23,multivi-louvain,Embedding,6781.0,,,0.9902374908510476,0.9920309825398989,1.0,,0.650225066066611,0.5428097098487045,0.8307968179560817,0.7560675363506401,0.9948876685455628,0.9988529297935608,0.6397206457002943,0.618634417960722,,,0.9801346841334736,0.9795285724969646,1.0,,0.5425188118714226,0.4606923546120204,0.7630714055089024,0.7017862622110232,0.9863174286483248,0.9907698079839168,0.6030831372406753,0.6005441677626197,0.0382359943282975,0.010839109275918,0.0101754903406577,0.0115027282111782,0.8287863147028462,0.8413213390355405,0.8162512903701519,0.89418964754461,0.8988349800914319,0.889544314997788,R100_A100,R100_A100
24,cobolt-louvain,Embedding,6781.0,,,0.9308497335262784,0.9842819816924868,1.0,,0.4690662856697135,0.4786455496528338,0.6891206989338386,0.6744184360107749,0.9710294978133364,0.9917510519263004,0.5536699221170929,0.6296254435963538,,,0.8953872687537886,0.9418912905731652,1.0,,0.3927950138446707,0.4385503876258173,0.608545594247066,0.6173412932567031,0.9586342737726152,0.9701025096979392,0.51683031812259,0.5864346300416852,0.0820679113707221,0.0044241262350685,0.0045715971095708,0.0042766553605662,0.5850906945878189,0.6540333284176375,0.5161480607580003,0.7604335643710367,0.819938062232709,0.7009290665093644,R100_A100,R10_A10
25,MIDAS-louvain,Embedding,6781.0,,,0.9715028636020226,0.9884498371353426,1.0,,0.5689025558899887,0.5211189504437959,0.7533971243089681,0.7124111828103679,0.9759773377148464,0.9908257985462532,0.5527949417978159,0.5725090671320147,,,0.9181994936346886,0.954509413687114,1.0,,0.3136172990563659,0.3945629581049765,0.5519739103216658,0.5846457729046783,0.9557912463603312,0.9564664688839708,0.5072760245029154,0.5420650243502947,0.1386320931375675,0.0037605072998082,0.0038342427370594,0.0036867718625571,0.6549918891019024,0.6826426780710809,0.6273411001327238,0.7793835717445805,0.8031263825394485,0.7556407609497124,R100_A100,R10_A10
26,multigrate-louvain,Embedding,6781.0,,,0.952725684540993,0.9664206508193132,1.0,,0.5604023178381062,0.5027772050551075,0.7452112465779549,0.706409613867418,0.9787606229727168,0.995773838162266,0.5846204000859435,0.6330258706809292,,,0.7595177797459264,0.9033871409275168,1.0,,0.317939495188684,0.3777549513119846,0.4684921946868868,0.4965211608978587,0.9256451524407484,0.9183772335775692,0.4835981424810224,0.5323415411880701,0.1745375865983618,0.0011797669960182,0.0011797669960182,0.0011797669960182,0.4480165167379442,0.5331072113257631,0.3629258221501253,0.6321339035540481,0.7184781005751364,0.5457897065329598,R100_A100,R10_A10
27,multivi-louvain,Embedding,6781.0,,,0.9822142359578556,0.9909268144815088,1.0,,0.5186305144436512,0.4647491692892981,0.7556208480652297,0.7032278665117571,0.9844384810311076,0.9954860734227258,0.5977142983846813,0.5903999438703784,,,0.8993292497057516,0.9539664228639262,1.0,,0.4769833605418594,0.5150476706450169,0.6439096122563623,0.6558416194255667,0.9548712216421088,0.9642690947268656,0.5251758278310791,0.5655078248015566,0.0846391914429225,0.0034655655508037,0.0035393009880548,0.0033918301135525,0.6816103819495649,0.7205426928181684,0.6426780710809615,0.8141129626898688,0.8408789264120337,0.7873469989677039,R100_A100,R10_A10
28,scmomat-louvain,Embedding,6781.0,,,0.9361591672185726,0.986832047851832,1.0,,0.4473362510541953,0.4813149446217357,0.6445806880021763,0.6441934626356627,0.9613273145668324,0.978496317477664,0.5270611147767068,0.5563570138616005,,,0.8210509811910376,0.9181208756445974,1.0,,0.4009881269476097,0.4134805444007228,0.5147485426673166,0.5177221262462381,0.9439759636842672,0.9420473630823218,0.5012256437311216,0.5305014235513718,0.2084547677294581,0.0044241262350685,0.0042766553605662,0.0045715971095708,0.5824362188467778,0.61613331367055,0.5487391240230055,0.7571892051319864,0.7966376640613478,0.717740746202625,R100_A100,R10_A10
29,cobolt-louvain,Embedding,6781.0,,,0.9781388395256436,0.988492158698667,1.0,,0.6186456188301676,0.542132417912094,0.7775777538919686,0.7308448231536471,0.9857230577573756,0.9975553584036562,0.5916881740037311,0.6352521990831222,,,0.946305780570578,0.9687477483314234,1.0,,0.5386603890052422,0.5692750874271528,0.6908880242006769,0.6856437030716352,0.9724003507555632,0.98300493536932,0.5453076670296497,0.6049209841541989,0.0706180734658097,0.0058250995428402,0.0045715971095708,0.0070786019761097,0.6445214570122402,0.7109570859755199,0.5780858280489604,0.7682495207196578,0.8192007078601976,0.7172983335791181,R100_A100,R25_A25
30,MIDAS-louvain,Embedding,6781.0,,,0.9876662862941348,0.9927388763973868,1.0,,0.6130261143357786,0.5272847959145517,0.7891455800975758,0.7336967780682291,0.984606274809971,0.9932490101180262,0.5713234610792856,0.5725723916901985,,,0.954198043492814,0.9709498049961708,1.0,,0.407255239674278,0.398553378158957,0.6634892561616577,0.64201981018123,0.9673583690495128,0.976483943468156,0.536740836791451,0.5494830813952964,0.0997880451423113,0.0105441675269134,0.0115027282111782,0.0095856068426485,0.7585164430025071,0.7784987464975668,0.7385341395074473,0.8596077274738239,0.8724376935555228,0.846777761392125,R100_A100,R25_A25
31,multigrate-louvain,Embedding,6781.0,,,0.9696829499030384,0.9741945629296704,1.0,,0.623443412493042,0.5132599236570993,0.8021523848448547,0.732629865607256,0.991584714567436,0.9992217351762888,0.6354663747653904,0.6598070369321974,,,0.8125515633967646,0.9117968705691344,1.0,,0.3608999718136398,0.3462840152503239,0.5562606477685356,0.5539159116834181,0.953222009562028,0.9582497728445728,0.499398779052304,0.5602286839200514,0.1836445492178987,0.0014009733077717,0.0019171213685297,0.0008848252470137,0.4823034950597257,0.5698274590768323,0.3947795310426191,0.6527060905471169,0.7233446394337119,0.582067541660522,R100_A100,R25_A25
32,multivi-louvain,Embedding,6781.0,,,0.9850023990500631,0.9886750647850944,1.0,,0.6479786008637389,0.5362838809728512,0.8245148458276637,0.752500503028304,0.9904449630625716,0.9983754118515412,0.621402953124613,0.6098407980472782,,,0.9605272762861434,0.9727647522411196,1.0,,0.5051252352266591,0.4851579069657983,0.7142924003124316,0.6858405532762643,0.97205980868023,0.9871399074957342,0.566879119182561,0.5892899761849786,0.0568712152141575,0.0061200412918448,0.0060463058545937,0.006193776729096,0.7711252027724524,0.7985547854298776,0.7436956201150273,0.870004424126235,0.8827606547706828,0.8572481934817874,R100_A100,R25_A25
33,scmomat-louvain,Embedding,6781.0,,,0.9605002049619188,0.991516216893673,1.0,,0.5073027391232109,0.4681935210096943,0.7089524544659627,0.6829020058560471,0.9723337203214651,0.989250951093445,0.5430918097341505,0.5642209064344281,,,0.8721132237888253,0.9325426242616972,1.0,,0.4280776865146422,0.4310816710547205,0.5795428952042919,0.5812306519634349,0.9499399469452602,0.9514007939312942,0.4924989138925572,0.5290884294038883,0.2033407513872668,0.0037605072998082,0.0036867718625571,0.0038342427370594,0.5390060463058546,0.5919480902521752,0.486064002359534,0.7315292729685887,0.7795310426190827,0.6835275033180946,R100_A100,R25_A25
34,cobolt-louvain,Embedding,6781.0,,,0.9850911617298892,0.9902101350265844,1.0,,0.5597473172735059,0.5021003709405699,0.7791345473640184,0.7338706457558125,0.989036873638541,0.9975846759890146,0.605962063126473,0.6328738799471486,,,0.9596345031151384,0.9738885891142516,1.0,,0.5305170515555956,0.5531690666744292,0.7196034723457668,0.7143714168753986,0.9711936516548428,0.9827132086461272,0.5578020629599977,0.605622816759429,0.0586353091813548,0.0058250995428402,0.0057513641055891,0.0058988349800914,0.7052057218699307,0.731160595782333,0.6792508479575284,0.8344639433711842,0.8523816546232119,0.8165462321191564,R100_A100,R50_A50
35,MIDAS-louvain,Embedding,6781.0,,,0.994139759903762,0.9940863703056724,1.0,,0.6591285187009829,0.566420327665235,0.7996453783267424,0.7426560863872395,0.9879061579293158,0.9951566247904142,0.5761150873119396,0.5752704975958427,,,0.9672446636083718,0.9721550829165506,1.0,,0.5367367630985509,0.4697570823286588,0.7073538675702775,0.6680790050283906,0.9720677049770624,0.980454000985634,0.5520830728648429,0.5561462765968692,0.0891926401312027,0.0129774369562011,0.0145996165757262,0.011355257336676,0.795679103377083,0.819938062232709,0.771420144521457,0.8754608464828197,0.8904291402448017,0.8604925527208377,R100_A100,R50_A50
36,multigrate-louvain,Embedding,6781.0,,,0.9777211340898876,0.986476485051273,1.0,,0.6177962166791018,0.506402905096415,0.8152817720688241,0.7401629214707884,0.995950312231157,0.9996085942732617,0.6589130207890411,0.6682262845757526,,,0.8622642254872895,0.9286093405842194,1.0,,0.3820036474261573,0.3496458194991513,0.5959335805749522,0.579455695284959,0.9596151878828326,0.9665892758440234,0.5063857834104842,0.5756381779118598,0.1339792250269622,0.0014009733077717,0.0014747087450228,0.0013272378705205,0.4178587229022268,0.4155729243474413,0.4201445214570122,0.6327975224893083,0.6068426485769061,0.6587523964017107,R100_A100,R50_A50
37,multivi-louvain,Embedding,6781.0,,,0.9891435074564668,0.9883641248004736,1.0,,0.568490234461527,0.5011773385880732,0.8072652498897853,0.7472996254125241,0.9921316874722568,0.998592077635527,0.624552796532526,0.5989443937202744,,,0.9754621567423052,0.9753282787985416,1.0,,0.6384575240364743,0.5771041769065464,0.7663400764817673,0.7235611456120011,0.9797873552253042,0.9884980172269252,0.5818405859884732,0.5801554088179695,0.0478664883387639,0.01032296121516,0.0112077864621737,0.0094381359681462,0.8156614068721428,0.8271641350833211,0.8041586786609645,0.8894705795605368,0.8991299218404365,0.879811237280637,R100_A100,R50_A50
