,method,Output,nCell,Batch_ASW_batch-RNA,Batch_ASW_site-RNA,graph_connectivity_batch-RNA,graph_connectivity_label-RNA,graph_connectivity_label.l1-RNA,graph_connectivity_cluster-RNA,graph_iLISI-RNA,ARI-RNA,ARI.l1-RNA,AMI-RNA,AMI.l1-RNA,graph_cLISI-RNA,graph_cLISI.l1-RNA,isolated_labels_ASW-RNA,isolated_labels_ASW.l1-RNA,Batch_ASW_batch-ATAC,Batch_ASW_site-ATAC,graph_connectivity_batch-ATAC,graph_connectivity_label-ATAC,graph_connectivity_label.l1-ATAC,graph_connectivity_cluster-ATAC,graph_iLISI-ATAC,ARI-ATAC,ARI.l1-ATAC,AMI-ATAC,AMI.l1-ATAC,graph_cLISI-ATAC,graph_cLISI.l1-ATAC,isolated_labels_ASW-ATAC,isolated_labels_ASW.l1-ATAC,FOSCTTM,nearest_cell_barcode,nearest_cell_barcode-RNA,nearest_cell_barcode-ATAC,nearest_cell_celltype,nearest_cell_celltype-RNA,nearest_cell_celltype-ATAC,nearest_cell_celltype.l1,nearest_cell_celltype.l1-RNA,nearest_cell_celltype.l1-ATAC,RNA,ATAC
38,SeuratV4_RPCA-louvain,Embedding,6924.0,0.9185783074072262,0.8857247405177265,0.7890635112878256,0.9527966490830768,0.9637599575410142,1.0,0.1863288721295344,0.4086782264690243,0.3799026030312374,0.6457026915705831,0.6063039942827136,0.9668995677081498,0.964182872033359,0.5927690376862492,0.5302783272495445,0.7642208364815263,0.8530738557319868,0.2864127711516211,0.7706306802538797,0.9101276813375148,1.0,0.3383258328334113,0.2664489377580463,0.2632734942191398,0.5472820976004195,0.5396894820730628,0.9632153347353556,0.969420157614168,0.3849990828067174,0.5238881921823031,0.1263396041064478,0.0023830155979202,0.0037550548815713,0.0010109763142692,0.5680964760254188,0.5732235701906413,0.5629693818601964,0.7162767186597343,0.7049393414211439,0.7276140958983247,R100,A25
39,SIMBA-louvain,Embedding,6924.0,0.9302024140430092,0.9214886025025216,0.668647498329955,0.9741137779801932,0.977134370733466,1.0,0.2512871068059035,0.6200520949838724,0.5530351104718048,0.7425567969081612,0.6872050898403829,0.98002290862121,0.9773679276695512,0.5494469011459782,0.5151946139484188,0.8958178701447871,0.941756604862867,0.620898569331562,0.8450841973115666,0.90074961416132,1.0,0.4135233979184304,0.4202846517707581,0.5021768799086805,0.5672508464007626,0.5919066569506518,0.9478417736223268,0.9367289215457693,0.5141997627971183,0.5430233489020146,0.1298048178273579,0.0018053148469093,0.0011554015020219,0.0024552281917966,0.521158290005777,0.5083766608896592,0.5339399191218949,0.6975736568457539,0.6894858463316003,0.7056614673599075,R100,A25
40,unionCom-louvain,Embedding,6924.0,0.7428683557437625,0.8522098388751544,0.425763339617288,0.9058572372139708,0.9408285267468458,1.0,0.3061148795522297,0.3843383875517739,0.3378152540839126,0.6452102837206979,0.5998761225430488,0.9794692765814176,0.982875880697082,0.4176762167124888,0.501688290786186,0.8717818977209081,0.8902861929786727,0.6851504647766313,0.4621882506429715,0.7793560807967841,1.0,0.3288986826686091,0.1028916766677289,0.111247861797562,0.1491270770014271,0.1506751269096419,0.8204731623360468,0.6900481988273522,0.472481948349012,0.595126211591228,0.3046033693036319,0.0003610629693818,0.0004332755632582,0.0002888503755054,0.1503466204506066,0.2564991334488735,0.0441941074523396,0.2950606585788561,0.4485846331600231,0.1415366839976892,R100,A25
41,uniPort-louvain,Embedding,6924.0,0.8889807800679449,0.9401667205305396,0.489035818181032,0.7693478273224051,0.8527689846297044,1.0,0.4357420337743085,0.3544817874692067,0.3938448227445832,0.5239252588345854,0.5343932539772116,0.9442741198656142,0.9265555516937278,0.4793250247588826,0.4718287741542474,0.903224573811066,0.9090916967598486,0.7581623913756516,0.9701803921998526,0.9666755663815284,1.0,0.2746053701233553,0.5951943249947675,0.5363217571216201,0.726804222507798,0.6784182210824238,0.9756119275446752,0.9765787901431058,0.584510257772465,0.5059723793559887,0.136209576382819,0.0027440785673021,0.0025996533795493,0.0028885037550548,0.5729347198151358,0.5540150202195263,0.5918544194107452,0.7421288272674755,0.7222703639514731,0.7619872905834778,R100,A25
42,bindSC-louvain,Embedding,6924.0,0.8326198478028327,0.9144112235776322,0.4249805216003604,0.7776853007748751,0.8522155926742949,1.0,0.4189610870157574,0.3967942170508633,0.5039525713934624,0.5695363084610146,0.5951339624887666,0.9451078007728052,0.9272212840847148,0.4560321556306778,0.3945742589170166,0.7914989243827886,0.8831133578297271,0.2542720741638712,0.7900557568064919,0.883532098383619,1.0,0.4162122433462779,0.3371073455991105,0.3617273189931401,0.5828214312363703,0.5873833625343337,0.959686971328724,0.9698480599994938,0.545094010955224,0.5907572373544645,0.1253907239481491,0.0012276140958983,0.0012998266897746,0.0011554015020219,0.4511842865395725,0.4276429809358752,0.4747255921432697,0.6504188330444829,0.628682842287695,0.6721548238012709,R100,A50
43,scglue-louvain,Embedding,6924.0,0.8958321519010605,0.9048761580287504,0.5845831329886816,0.960953338268615,0.9728759835100824,1.0,0.2883056204975193,0.6240517688275907,0.5623712646711672,0.7558538852153633,0.7055533458820213,0.9827822869135926,0.9869659128512668,0.5145719870836487,0.512465307202459,0.8883697570416603,0.9153919933539116,0.6074763470104162,0.9469795292751696,0.949446333722306,1.0,0.348587663161833,0.5930087881027076,0.5852003386623768,0.7144822303820951,0.6908543568388058,0.976165964577182,0.9786599146338668,0.4361164101967238,0.5030033325442594,0.0362890602968066,0.0213027151935297,0.0212305025996533,0.0213749277874061,0.7615540150202196,0.7681975736568457,0.7549104563835933,0.8692229924898902,0.8739168110918544,0.864529173887926,R100,A50
44,LIGER_INMF-louvain,Embedding,6924.0,0.8239467386775724,0.8664040477019413,0.5172244240807682,0.9419169460994332,0.9672955327783884,1.0,0.328078175189218,0.4736256581654549,0.4558057305263096,0.6992376972912179,0.66388491550893,0.9802858556287288,0.978475135679122,0.5827997240322969,0.5317260844054865,0.8678073385405449,0.8677692199711977,0.5309343129428133,0.85174026191013,0.9003462424153152,1.0,0.4050344455989168,0.5071218929968881,0.5850627511673282,0.6168376572493366,0.6400114877288963,0.9499146675995198,0.94261247721409,0.4187626317678609,0.4881088956507869,0.2797322527225524,0.0007221259387637,0.0005777007510109,0.0008665511265164,0.3147746967071057,0.3609185441941074,0.268630849220104,0.5647746967071057,0.6051415366839977,0.5244078567302137,R100,A50
45,LIGER_OINMF-louvain,Embedding,6924.0,0.8339007792325906,0.8793494708545121,0.625286888270449,0.9177803719415784,0.9384362270483276,1.0,0.3586054662207085,0.4298617442599214,0.4347116215460855,0.6372899184196212,0.624848059308045,0.9593129052243644,0.9571929000668016,0.513172896640224,0.5121364835696969,0.8370380666082226,0.9027620433567218,0.6046226269203365,0.7860465466865832,0.8629157641663991,1.0,0.4440616302829962,0.3940595513234317,0.486840813960662,0.502937645764545,0.5417746616880112,0.9268221809829192,0.8852035319327036,0.4761798930159485,0.4689543404902783,0.2811274346615778,0.0014442518775274,0.0017331022530329,0.0011554015020219,0.3848209127671865,0.4539283651068746,0.3157134604274985,0.5542316580011555,0.639948006932409,0.4685153090699018,R100,A50
46,LIGER_UINMF-louvain,Embedding,6924.0,0.8119895583501111,0.8728526001695313,0.5706998170458691,0.9464031426080732,0.9629636584550076,1.0,0.3387145309244282,0.4783937693207395,0.433922602621325,0.686522761080369,0.6515288476221138,0.9814367308118374,0.9824250356623976,0.5454239393646891,0.5048024691629324,0.8415584236099264,0.842620125715874,0.5210681601501186,0.8217779182366979,0.8624377935213353,1.0,0.414728396965878,0.3664361370949315,0.4894344324677136,0.559091123557126,0.6102061642194944,0.94202404519435,0.9270094027305094,0.4087369917823661,0.5168423005523186,0.4446288556352188,0.0006499133448873,0.0002888503755054,0.0010109763142692,0.167316580011554,0.1876083188908145,0.1470248411322934,0.2675476603119584,0.2538994800693241,0.2811958405545927,R100,A50
47,MaxFuse-louvain,Embedding,6924.0,0.8765214552265822,0.924958302129427,0.5898164890289356,0.954489771459682,0.953933549532062,1.0,0.3850070348235712,0.6658471597780921,0.6644038702331253,0.7548815470294963,0.7373236348426196,0.9684935360751536,0.9668132621510556,0.5622029303639474,0.5330112575353955,0.8148249895820263,0.8708779084715004,0.7204498760791169,0.953054364213271,0.9652321080266693,1.0,0.3374796234882387,0.5194925132819637,0.4899096536697964,0.6853816107606959,0.6570556406084056,0.9746294137685274,0.9792162336616032,0.5077479461825636,0.6316676030018116,0.162658648690862,0.0043327556325823,0.0033217793183131,0.0053437319468515,0.6929520508376661,0.7169266320046216,0.6689774696707106,0.8108030040439053,0.8389659156556903,0.7826400924321202,R100,A50
48,MultiMAP-louvain,Embedding,6924.0,0.6663695842235409,0.8062322613351792,0.2174035542367018,0.7651199194317432,0.8118063095150228,1.0,0.3124593522074857,0.2562546771549785,0.2345718382465351,0.5737614728909206,0.5544356754062458,0.9705624812341236,0.9777477326389854,0.5609211554355363,0.512133028519799,0.6829736037173146,0.8682636138043476,0.156164163768629,0.6910649099900914,0.7799949319779986,1.0,0.4090499752052696,0.2511356974129339,0.2492263429663371,0.5233784896219043,0.5233925635320219,0.9591232815938104,0.964112752882992,0.4372655018873683,0.5993818520326639,0.1525020787715499,0.0024552281917966,0.0031773541305603,0.0017331022530329,0.5707683419988446,0.5943096476025419,0.5472270363951474,0.7481946851530907,0.7833622183708839,0.7130271519352975,R100,A50
49,pamona-louvain,Embedding,6924.0,0.6488650032446103,0.8487109568495911,0.1372035708600752,0.3440871680742206,0.5809756340533316,1.0,0.4250722808701788,0.105056567367648,0.1037595537119148,0.312147868089845,0.3082370574693364,0.8781438404680963,0.8111223217696184,0.4934315995903792,0.4654133748382547,0.6750113634849271,0.8301441241951493,0.0887415027153303,0.1004608456938218,0.2026665228807053,1.0,0.5310103384764461,0.0084803635159597,0.0081472015769094,0.035931823182876,0.0277264984808295,0.7030973986051018,0.4809068732143073,0.4587682292063472,0.4891205215575921,0.5090154878701197,7.221259387637204e-05,0.0001444251877527,0.0,0.077267475447718,0.0590699017908723,0.0954650491045638,0.1130849220103986,0.0898324667822068,0.1363373772385904,R100,A50
